2026-07-01 | AC: 2612 | hours: 298:30
2026-07-01 | AC: 2611 | hours: 307:10
2026-07-01 | AC: 1935 | hours: 766:10
2026-07-01 | AC: 1547 | hours: 855:45
2026-07-01 | AC: 1546 | hours: 1019:10
2026-07-01 | AC: 1934 | hours: 1050:15
2026-07-01 | AC: 1545 | hours: 1764:30
2026-07-01 | AC: 2013 | hours: 1836.0
2026-07-01 | AC: 1544 | hours: 2153:00
2026-07-01 | AC: 1543 | hours: 2210:35
2026-07-01 | AC: 1933 | hours: 2381:40
2026-07-01 | AC: 1931 | hours: 2600:00
2026-07-01 | AC: 1541 | hours: 2719:00
2026-07-01 | AC: 1932 | hours: 2724:10
2026-07-01 | AC: 1542 | hours: 4066:50
2026-07-01 | AC: 1922 | hours: 4686:05
2026-07-01 | AC: 2012 | hours: 4690.7
2026-07-01 | AC: 2011 | hours: 4725.7
2026-07-01 | AC: 2221 | hours: 4922:10
2026-07-01 | AC: 1521 | hours: 5356:35
2026-07-01 | AC: 1921 | hours: 5509:30
2026-07-01 | AC: 2222 | hours: 5996:50
2026-07-01 | AC: 1916 | hours: 8224:20
2026-07-01 | AC: 1915 | hours: 8299:05
2026-07-01 | AC: 1914 | hours: 8527:00
2026-07-01 | AC: 1911 | hours: 8902:20
2026-07-01 | AC: 1533 | hours: 9173:35
2026-07-01 | AC: 1912 | hours: 9283:00
2026-07-01 | AC: 1918 | hours: 9668:30
2026-07-01 | AC: 1913 | hours: 9675:10
2026-07-01 | AC: 1531 | hours: 10325:15
2026-07-01 | AC: 1535 | hours: 10820:35
2026-07-01 | AC: 1534 | hours: 10924:20
2026-07-01 | AC: 1532 | hours: 10931:10
2026-07-02 | AC: 2612 | hours: 300:20
2026-07-02 | AC: 2611 | hours: 309:20
2026-07-02 | AC: 1935 | hours: 768:00
2026-07-02 | AC: 1547 | hours: 855:45
2026-07-02 | AC: 1546 | hours: 1019:10
2026-07-02 | AC: 1934 | hours: 1050:15
2026-07-02 | AC: 1545 | hours: 1765:50
2026-07-02 | AC: 2013 | hours: 1836.0
2026-07-02 | AC: 1544 | hours: 2154:10
2026-07-02 | AC: 1543 | hours: 2210:35
2026-07-02 | AC: 1933 | hours: 2382:40
2026-07-02 | AC: 1931 | hours: 2601:00
2026-07-02 | AC: 1541 | hours: 2719:00
2026-07-02 | AC: 1932 | hours: 2724:10
2026-07-02 | AC: 1542 | hours: 4066:50
2026-07-02 | AC: 1922 | hours: 4686:05
2026-07-02 | AC: 2012 | hours: 4690.7
2026-07-02 | AC: 2011 | hours: 4725.7
2026-07-02 | AC: 2221 | hours: 4923:30
2026-07-02 | AC: 1521 | hours: 5356:35
2026-07-02 | AC: 1921 | hours: 5509:30
2026-07-02 | AC: 2222 | hours: 5996:50
2026-07-02 | AC: 1916 | hours: 8225:20
2026-07-02 | AC: 1915 | hours: 8300:35
2026-07-02 | AC: 1914 | hours: 8527:00
2026-07-02 | AC: 1911 | hours: 8902:20
2026-07-02 | AC: 1533 | hours: 9173:35
2026-07-02 | AC: 1912 | hours: 9283:00
2026-07-02 | AC: 1918 | hours: 9668:30
2026-07-02 | AC: 1913 | hours: 9675:10
2026-07-02 | AC: 1531 | hours: 10326:25
2026-07-02 | AC: 1535 | hours: 10820:35
2026-07-02 | AC: 1534 | hours: 10924:20
2026-07-02 | AC: 1532 | hours: 10932:50
2026-07-03 | AC: 2512 | hours: 82.8
2026-07-03 | AC: 2511 | hours: 84.7
2026-07-03 | AC: 2612 | hours: 302:30
2026-07-03 | AC: 2611 | hours: 311:20
2026-07-03 | AC: 1935 | hours: 769:10
2026-07-03 | AC: 1547 | hours: 857:05
2026-07-03 | AC: 1546 | hours: 1019:10
2026-07-03 | AC: 1934 | hours: 1050:15
2026-07-03 | AC: 1545 | hours: 1767:30
2026-07-03 | AC: 2013 | hours: 1836.0
2026-07-03 | AC: null | hours: 2155:40
2026-07-03 | AC: 1543 | hours: 2210:35
2026-07-03 | AC: 1933 | hours: 2385:10
2026-07-03 | AC: 1931 | hours: 2603:25
2026-07-03 | AC: 1541 | hours: 2720:50
2026-07-03 | AC: 1932 | hours: 2724:10
2026-07-03 | AC: 1542 | hours: 4066:50
2026-07-03 | AC: 1922 | hours: 4686:05
2026-07-03 | AC: 2012 | hours: 4690.7
2026-07-03 | AC: 2011 | hours: 4725.7
2026-07-03 | AC: 2221 | hours: 4925:35
2026-07-03 | AC: 1521 | hours: 5356:35
2026-07-03 | AC: 1921 | hours: 5509:30
2026-07-03 | AC: 2222 | hours: 5996:50
2026-07-03 | AC: 1916 | hours: 8227:45
2026-07-03 | AC: 1915 | hours: 8301:25
2026-07-03 | AC: null | hours: 8527:00
2026-07-03 | AC: 1911 | hours: 8902:20
2026-07-03 | AC: 1533 | hours: 9173:35
2026-07-03 | AC: 1912 | hours: 9283:00
2026-07-03 | AC: 1918 | hours: 9668:30
2026-07-03 | AC: 1913 | hours: 9676:00
2026-07-03 | AC: 1531 | hours: 10328:35
2026-07-03 | AC: 1535 | hours: 10820:35
2026-07-03 | AC: 1534 | hours: 10924:20
2026-07-03 | AC: 1532 | hours: 10935:00
2026-07-04 | AC: 2512 | hours: 82.8
2026-07-04 | AC: 2511 | hours: 84.7
2026-07-04 | AC: 2612 | hours: 303:40
2026-07-04 | AC: 2611 | hours: 312:20
2026-07-04 | AC: 1935 | hours: 769:10
2026-07-04 | AC: 1547 | hours: 858:25
2026-07-04 | AC: 1546 | hours: 1019:10
2026-07-04 | AC: 1934 | hours: 1050:15
2026-07-04 | AC: 1545 | hours: 1768:40
2026-07-04 | AC: 2013 | hours: 1836.0
2026-07-04 | AC: 1544 | hours: 2157:00
2026-07-04 | AC: 1543 | hours: 2210:35
2026-07-04 | AC: 1933 | hours: 2386:15
2026-07-04 | AC: 1931 | hours: 2604:30
2026-07-04 | AC: 1541 | hours: 2720:50
2026-07-04 | AC: 1932 | hours: 2724:10
2026-07-04 | AC: 1542 | hours: 4066:50
2026-07-04 | AC: 1922 | hours: 4686:05
2026-07-04 | AC: 2012 | hours: 4690.7
2026-07-04 | AC: 2011 | hours: 4725.7
2026-07-04 | AC: 2221 | hours: 4927:25
2026-07-04 | AC: 1521 | hours: 5356:35
2026-07-04 | AC: 1921 | hours: 5509:30
2026-07-04 | AC: 2222 | hours: 5996:50
2026-07-04 | AC: 1916 | hours: 8228:50
