2025-05-27 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-05-28 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-05-29 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-05-30 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-05-31 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-01 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-02 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-03 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-04 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-05 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-06 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-07 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-08 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-09 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-10 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-11 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-12 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-13 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-14 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-15 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-16 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-17 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-18 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-19 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-20 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-21 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-22 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-23 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-24 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-25 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-26 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-27 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-28 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-29 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-06-30 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-01 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-02 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-03 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-04 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-05 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-06 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-07 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-08 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-09 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-10 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-11 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-12 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-13 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-14 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-15 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-16 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-17 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-18 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-19 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-20 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-21 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-22 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-23 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-24 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-25 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-26 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-27 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-28 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-29 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-30 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-07-31 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-01 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-02 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-03 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-04 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-05 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-06 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-07 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-08 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-09 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-10 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-11 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-12 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-13 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-14 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-15 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-16 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-17 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-18 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-19 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-20 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-21 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-22 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-23 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-24 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-25 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-26 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-27 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-28 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-29 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-30 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-08-31 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-01 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-02 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-03 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-04 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-05 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-06 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-07 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-08 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-09 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-10 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-11 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-12 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-13 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-14 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-15 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-16 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-18 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-19 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-20 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-21 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-22 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-23 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-24 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-25 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-26 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-27 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-28 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-29 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-09-30 | hours: 1366:45 (1366.75) | delta: 0.00 | prev: 1366.75 -> 1366.75
2025-10-01 | hours: 1555:50 (1555.83) | delta: 189.08 | prev: 1366.75 -> 1555.8333333333333
